NO;Tolueno;Tolueno;T4-CSF;T4-CCF;T4-F;T7;T10-R;T13;T15-R;T15-M;T20-naclo2;T21EGA;T23
908.035035;90.95846854;90.95846854;70.05964899;71.65456277;68.62261902;82.78802247;3.908467327;65.65432141;88.73959423;96.00816546;89.48585282;52.13220397;90.29942977
911.3723724;91.7439727;91.7439727;69.8915189;71.32410566;68.3964272;82.81592298;4.60985583;65.9216213;88.62254773;95.69157508;90.02519657;50.99158812;90.32291019
914.7097097;92.31082744;92.31082744;69.71736556;70.99364856;68.17163552;82.84386411;5.320477325;66.18591074;88.5055305;95.3750001;90.53689085;49.77788371;90.49600033
918.047047;92.59208601;92.59208601;69.54320039;70.616676;67.94686356;83.03470037;6.039374844;66.43615141;88.38851327;95.05840972;90.9295823;48.49695657;90.71009463
921.3843844;92.42454702;92.42454702;69.28910006;70.21806202;67.72002096;82.338812;6.665478121;66.60977732;88.27146677;94.43552847;91.22272033;47.14376208;90.4024804
924.7217217;92.25700802;92.25700802;69.02553295;69.81944803;67.48442256;81.64292363;7.258558827;66.78340323;88.15444954;93.57064741;91.22738409;45.71589523;89.99351943
928.0590591;92.06551257;92.06551257;68.74358843;68.81053561;67.24882415;80.94707587;7.758824025;66.93530257;88.03743232;92.70578174;91.13259694;44.22209615;87.85141285
931.3963964;91.87019509;91.87019509;68.2990874;67.72361536;67.00107804;80.25118749;8.231074798;67.04360873;87.92038582;91.84090068;90.49724886;42.65802411;85.49432541
934.7337337;91.66554588;91.66554588;67.85458636;66.64411309;66.73473569;79.55529912;8.666251824;67.15193823;87.80336859;90.97603501;89.74202669;41.04374033;84.81890674
938.0710711;91.44244991;91.44244991;67.290295;65.63873951;66.46837362;78.85941075;9.066442717;67.23494728;87.68635136;90.11115395;88.4748796;39.39467202;84.24706511
941.4084084;91.21935394;91.21935394;66.45808181;64.63336593;66.06978695;78.16352237;9.452537789;67.29366271;87.56930486;89.17294474;87.02271948;37.72571846;83.05782013
